time_utc,u10_mean,v10_mean,wind10_mps_mean,wind10_mps_min,wind10_mps_max,wind10_mps_p10,wind10_mps_p90,wind10_direction_deg_mean
2025-01-02 23:00:00,3.783691,-0.6505284,4.079517,0.5073844,12.250455,2.000772,7.4909725,279.75546
2025-01-03 00:00:00,3.943145,-0.36466485,4.199763,0.4926914,12.542931,1.9560492,7.948779,275.28372
2025-01-03 01:00:00,4.1270366,-0.11662787,4.3477335,0.6148185,12.29809,1.900915,8.300471,271.6187
2025-01-03 02:00:00,4.3220563,0.10318076,4.513591,0.4420338,13.668612,1.9958874,8.388617,268.63245
2025-01-03 03:00:00,4.5429373,0.41084206,4.721693,0.19383015,15.113525,2.0599415,8.921474,264.8325
2025-01-03 04:00:00,4.8555927,0.6321477,5.0367594,0.20285004,15.974261,2.1145132,9.6632595,262.5824
2025-01-03 05:00:00,5.126995,0.81043553,5.335035,0.3173008,16.840876,2.1610496,10.443241,261.01746
2025-01-03 06:00:00,5.353914,0.93126905,5.5961795,0.2928286,16.622713,2.3099556,11.034406,260.1326
2025-01-03 07:00:00,5.4855766,0.9480071,5.818184,0.20447855,16.566994,2.154784,11.740831,260.1951
2025-01-03 08:00:00,5.5786834,0.87357926,6.032936,0.22898854,16.140005,2.1735272,12.41085,261.1002
2025-01-03 09:00:00,5.9239683,0.6201271,6.4615374,0.24765258,16.716595,2.4766915,12.281352,264.024
2025-01-03 10:00:00,5.759333,0.25275153,6.3852987,0.24810687,18.24791,3.1244092,12.004846,267.48715
2025-01-03 11:00:00,5.997286,-0.17510368,6.656393,1.1665374,17.825096,3.5746133,11.692662,271.6724
2025-01-03 12:00:00,6.080128,-0.5330328,6.7434134,1.1209166,16.100536,3.8543396,11.696379,275.0102
2025-01-03 13:00:00,6.21068,-0.8922297,6.852604,1.3524811,16.721302,3.7653935,11.296149,278.1752
2025-01-03 14:00:00,5.9349027,-1.0698152,6.540211,0.95916927,15.612399,3.5571997,10.8398485,280.2183
