date,wind10_mps_mean,wind10_mps_min,wind10_mps_max,wind10_mps_p90
2025-04-18,3.2527227,0.01252755,10.125283,5.095214
2025-04-19,2.4776037,0.021667272,9.142328,4.5140452
2025-04-20,2.345874,0.02787029,9.158308,4.408839
2025-04-21,2.040218,0.02773192,7.070201,3.256776
2025-04-22,2.0201585,0.008070875,5.813088,2.9770584
2025-04-23,2.1225197,0.019506307,8.612916,3.2643774
2025-04-24,3.2005608,0.054023616,9.070326,4.8867283
2025-04-25,3.0306113,0.07256362,8.59109,4.281984
2025-04-26,3.3446624,0.031421695,8.668153,4.48651
2025-04-27,2.8655217,0.07161188,8.5247135,4.067949
2025-04-28,2.0005798,0.00052193087,8.995483,3.1912954
2025-04-29,2.4953542,0.028214788,8.822314,4.081369
2025-04-30,2.043101,0.0024361555,9.201241,3.0777032
2025-05-01,1.8817207,0.03519359,8.662115,2.9147568
2025-05-02,3.0359173,0.03845118,9.7108555,5.1393924
2025-05-03,3.4021761,0.010851788,12.940353,5.8000712
2025-05-04,4.170012,0.10585373,13.155534,6.9997754
2025-05-05,3.8945553,0.06292318,10.528511,5.6426563
2025-05-06,3.5616217,0.04141938,11.275826,5.9583325
2025-05-07,3.1663837,0.029622652,8.059678,4.436728
2025-05-08,2.9737453,0.048661474,6.984437,4.207352
2025-05-09,2.8504498,0.03404463,9.918353,4.5457354
2025-05-10,2.6093466,0.041935652,7.939582,4.1616874
2025-05-11,3.3302634,0.07056164,10.3475065,5.4666314
2025-05-12,3.516838,0.026231717,10.717843,5.8240166
2025-05-13,2.5651577,0.02100437,9.991147,4.4064665
2025-05-14,3.2482092,0.017855939,10.931566,5.838576
2025-05-15,4.4767447,0.099611975,12.602718,6.9670563
2025-05-16,3.62382,0.0566749,10.94913,6.178269
2025-05-17,3.7524803,0.03550524,10.765659,6.143418
2025-05-18,3.6247704,0.08327249,11.866085,5.5360985
2025-05-19,2.8283517,0.07115213,10.025561,4.521288
2025-05-20,2.4872825,0.014028131,10.536477,5.221444
2025-05-21,3.9119425,0.030594729,14.133228,8.515361
2025-05-22,4.67552,0.008383521,17.115965,9.471075
