latitude,longitude,wind10_mps_mean,wind10_mps_min,wind10_mps_max,wind10_mps_p90,u10_mean,v10_mean,wind10_direction_deg_mean
47.5,12.75,1.3088089,0.014421429,4.2499146,2.1373382,0.18220735,0.22822979,218.60213
47.5,13.0,1.318673,0.031252775,4.160218,2.1227045,0.18959577,0.29068553,213.11386
47.5,13.25,1.3375566,0.026377711,4.745664,2.1771383,0.14210753,0.2916369,205.97885
47.5,13.5,1.3932557,0.031511914,5.1027293,2.2450833,0.1247683,0.28134388,203.91599
47.5,13.75,1.4808116,0.014354953,5.5178976,2.3455777,0.20841122,0.31218207,213.72688
47.5,14.0,1.4896262,0.05327524,5.716093,2.3374887,0.362549,0.27448553,232.87067
47.5,14.25,1.4971894,0.011702297,5.8071094,2.4034467,0.44370034,0.22976409,242.62325
47.5,14.5,1.6094159,0.033192143,6.1798506,2.6081142,0.44482774,0.16036081,250.17572
47.5,14.75,1.6349609,0.03610938,6.462132,2.6868696,0.37916672,0.081414215,257.88153
47.5,15.0,1.4768165,0.04386488,6.2693415,2.6556656,0.260898,-0.102530695,291.4544
47.75,6.0,2.7377741,0.035944022,10.926018,4.567949,-0.013298688,0.28999916,177.37439
47.75,6.25,2.6620007,0.053725313,10.558765,4.4046855,-0.23917024,0.315463,142.8322
47.75,6.5,2.5668406,0.04372838,9.949567,4.3056564,-0.31543532,0.2331981,126.47514
47.75,6.75,2.498891,0.02211694,9.600178,4.425262,-0.14013575,0.10668812,127.282745
47.75,7.0,2.1052606,0.020842321,9.41012,3.9796956,0.14788742,0.0009771242,269.62143
47.75,7.25,1.9519619,0.006287528,9.097062,3.631784,0.3140456,0.1284221,247.75897
47.75,7.5,1.874584,0.022710625,8.366845,3.2525287,-0.008311085,0.24561629,178.06198
47.75,7.75,2.103724,0.013108357,8.453867,3.3917196,-0.18538706,0.34494117,151.74442
47.75,8.0,2.05232,0.010011452,8.711389,3.5272152,-0.12650123,0.047491822,110.57744
47.75,8.25,1.9222833,0.009662814,8.908827,3.6671722,0.08731991,-0.15271932,330.24048
47.75,8.5,2.1164262,0.041458786,8.843115,3.8719716,0.21541482,-0.32175437,326.19766
47.75,8.75,2.1526315,0.012636277,8.503891,3.9289455,0.05416004,-0.25589082,348.04956
47.75,9.0,2.0810087,0.024693115,8.789938,3.8623612,0.10828502,-0.22450101,334.2503
47.75,9.25,2.1417627,0.026231717,9.338663,3.9598343,0.14260952,-0.26476514,331.6919
47.75,9.5,2.1007485,0.0141248675,8.692245,3.8676207,0.06674309,-0.15822029,337.1282
47.75,9.75,2.038409,0.03808551,8.048486,3.7481358,-0.00085911085,0.028055886,178.24608
47.75,10.0,2.1864004,0.041118644,8.168047,3.842114,-0.0113364225,0.28596625,177.72984
47.75,10.25,2.199111,0.012473012,8.559757,3.7938175,0.18793963,0.37285066,206.75092
47.75,10.5,2.140914,0.040282164,7.969233,3.601349,0.3361439,0.37035775,222.2275
47.75,10.75,1.9518118,0.039214466,7.6214304,3.2305238,0.37055814,0.2623222,234.7049
47.75,11.0,1.85198,0.04186322,7.5428343,3.0676296,0.32965735,0.24163422,233.75911
47.75,11.25,1.7792165,0.0379651,6.880761,2.9325902,0.21648815,0.23283,222.91705
47.75,11.5,1.8034519,0.04288466,6.4036536,2.940156,0.23249875,0.28214908,219.48949
47.75,11.75,1.7654277,0.043564763,6.3918533,2.8664107,0.26577556,0.27938807,223.56964
47.75,12.0,1.7524257,0.014563377,5.972493,2.8431447,0.37470052,0.24036314,237.32062
47.75,12.25,1.6439081,0.020070465,5.546724,2.6395464,0.267687,0.18388872,235.51273
47.75,12.5,1.6406565,0.030110968,5.758732,2.6213956,0.17627262,0.22405086,218.194
47.75,12.75,1.6337506,0.010070812,5.4244447,2.62449,0.13973658,0.2660309,207.71136
47.75,13.0,1.6126617,0.008371959,4.875209,2.57314,0.14696258,0.3280259,204.13339
47.75,13.25,1.5536659,0.02411625,5.175299,2.4433696,0.13303386,0.2869951,204.86963
47.75,13.5,1.5544907,0.0603068,5.4494443,2.4132538,0.12550975,0.28851727,203.50983
47.75,13.75,1.5987979,0.027430877,5.4074893,2.4941647,0.20871522,0.3192238,213.1775
47.75,14.0,1.6360595,0.04195887,5.438567,2.6072848,0.34297952,0.3226704,226.74756
47.75,14.25,1.5989143,0.03528495,5.467983,2.5424628,0.35415325,0.27130455,232.54553
47.75,14.5,1.6286538,0.022246476,5.838741,2.6570356,0.3552648,0.20220919,240.35239
47.75,14.75,1.7802124,0.026242029,6.514128,2.9736447,0.25838098,0.17819858,235.407
47.75,15.0,1.9288139,0.029567426,6.789279,3.221135,0.3635715,0.20060433,241.11183
48.0,6.0,2.8717356,0.08781564,10.749345,4.8216653,0.10610826,0.33248687,197.69972
48.0,6.25,2.796363,0.016641596,10.557073,4.7176366,-0.11903431,0.4101645,163.81668
48.0,6.5,2.7834587,0.030641837,10.355438,4.685876,-0.17483717,0.5141303,161.21869
48.0,6.75,2.6177125,0.045424517,9.767203,4.5839467,0.018151082,0.3615377,182.87415
48.0,7.0,2.1889584,0.029422542,9.062262,4.124056,0.31038684,0.21563202,235.21152
48.0,7.25,2.0540254,0.041918896,8.3278675,3.6948135,0.52708817,0.02783326,266.97726
48.0,7.5,1.9874115,0.008564572,8.6413355,3.7199593,0.1444408,0.21044844,214.46367
48.0,7.75,2.063107,0.014032811,8.747841,3.7161462,-0.03184156,0.30926698,174.12164
48.0,8.0,2.2866879,0.021051168,8.896479,3.8880644,-0.14943194,0.43650705,161.1021
48.0,8.25,2.2656329,0.014762467,9.2207985,4.2000437,0.14694363,0.2725255,208.3332
48.0,8.5,2.3210213,0.018224003,9.5739565,4.3444905,0.2743917,0.10431617,249.18457
48.0,8.75,2.331799,0.03577159,9.201451,4.292108,0.10932044,0.012241706,263.61063
48.0,9.0,2.3848624,0.026217837,9.052355,4.315022,0.09690427,-0.06785514,305.0008
48.0,9.25,2.4093757,0.025324464,8.997531,4.3842735,0.119319394,-0.12275368,315.8128
48.0,9.5,2.4883027,0.020911228,9.121259,4.473865,0.14912997,-0.03987864,284.9711
48.0,9.75,2.5522487,0.014361447,9.442727,4.572692,0.18924606,-0.014669058,274.4323
48.0,10.0,2.6353948,0.066179685,9.44901,4.6466613,0.17739555,0.25276348,215.06212
48.0,10.25,2.6654491,0.042390864,9.706681,4.585178,0.35453537,0.34552565,225.73735
48.0,10.5,2.6743376,0.027945112,9.708166,4.562996,0.3987312,0.3618084,227.77942
48.0,10.75,2.5111485,0.023123646,9.305282,4.2870746,0.4596639,0.26601285,239.94153
48.0,11.0,2.3903902,0.030336453,8.804372,4.0680165,0.4332199,0.24889657,240.12148
48.0,11.25,2.2908587,0.016939078,8.685913,3.9446993,0.39673704,0.16915734,246.90799
48.0,11.5,2.2432468,0.018520758,8.708057,3.826208,0.39013767,0.20077512,242.76846
48.0,11.75,2.1817353,0.007971166,8.696143,3.7936034,0.423303,0.1980889,244.92229
48.0,12.0,2.0974693,0.048039585,8.881083,3.7918458,0.4493275,0.12190644,254.82056
48.0,12.25,2.008826,0.03853946,8.541438,3.6916275,0.37719542,0.09086736,256.45538
48.0,12.5,1.9904703,0.017192377,7.8370905,3.5889752,0.28619584,0.13074343,245.44757
48.0,12.75,2.0318265,0.03504613,7.818962,3.532898,0.22183795,0.22481473,224.61815
48.0,13.0,2.0926733,0.011561944,7.628913,3.5251043,0.15500551,0.29274535,207.90074
48.0,13.25,2.0356112,0.023433546,7.2711496,3.4218676,0.13382459,0.23178321,210.00084
48.0,13.5,2.0051782,0.054821026,7.2528167,3.387282,0.1669636,0.1885963,221.51834
48.0,13.75,1.9517001,0.031281356,7.315944,3.4716632,0.2619857,0.090502605,250.9426
48.0,14.0,1.9626355,0.02498436,7.010779,3.5481577,0.38006514,0.08154019,257.89117
48.0,14.25,1.9148446,0.0054861237,7.064057,3.4863775,0.3472602,0.037024207,263.9142
48.0,14.5,1.8923634,0.020008625,7.2274866,3.479408,0.315337,-0.0013057578,270.23724
48.0,14.75,2.0681272,0.024659699,7.624151,3.7559679,0.27604228,0.036436487,262.48065
48.0,15.0,2.2015388,0.02932436,7.838827,3.9871132,0.39846388,0.08260794,258.2876
48.25,6.0,3.1455045,0.008070875,11.057301,5.254326,0.23994012,0.3834059,212.03885
48.25,6.25,3.0808241,0.04135005,11.104605,5.3331933,0.18766361,0.5605056,198.51114
48.25,6.5,3.0275307,0.022278836,10.886283,5.3400507,0.15120305,0.6809713,192.51888
48.25,6.75,2.967993,0.05909676,10.478949,5.163726,0.14615825,0.6690183,192.32361
48.25,7.0,2.5568507,0.047185395,9.573656,4.589421,0.3417975,0.42819288,218.598
48.25,7.25,2.2591004,0.019441212,8.7913685,4.0526004,0.56037104,0.17104325,253.02612
48.25,7.5,2.242505,0.022698227,8.6188135,4.0582747,0.36901695,0.31863517,229.19037
48.25,7.75,2.1428895,0.005112264,8.773633,4.0182047,0.15736386,0.43891624,199.7242
48.25,8.0,2.3182688,0.036117,8.517781,4.0291142,-0.09897889,0.666388,171.5516
48.25,8.25,2.3874187,0.011554249,9.235995,4.2895646,0.13489111,0.55708563,193.61147
48.25,8.5,2.5342944,0.0089510325,9.865255,4.6116705,0.3592464,0.51429874,214.93495
48.25,8.75,2.5671084,0.016888475,9.525735,4.5472045,0.31193417,0.44612062,214.96182
48.25,9.0,2.603968,0.021568356,9.44262,4.536983,0.28546846,0.37293795,217.43256
48.25,9.25,2.6589417,0.039607376,9.372476,4.546142,0.20842248,0.32011318,213.06775
48.25,9.5,2.6807718,0.00338212,9.538296,4.646311,0.32356563,0.16881879,242.44691
48.25,9.75,2.7131739,0.019774567,9.856348,4.6796994,0.36287698,0.17468217,244.29471
48.25,10.0,2.7438166,0.058488324,10.103019,4.6701875,0.38102722,0.20086898,242.20282
48.25,10.25,2.7300122,0.03054877,10.3637495,4.665728,0.36296448,0.27681524,232.669
48.25,10.5,2.7188132,0.043667607,10.347763,4.601228,0.3859721,0.29391208,232.71127
48.25,10.75,2.6477592,0.045049258,9.968501,4.4959917,0.42764446,0.19866101,245.08292
48.25,11.0,2.6013951,0.055869978,9.763169,4.3941803,0.41645747,0.12942575,252.73592
48.25,11.25,2.5242364,0.019689396,9.379249,4.3068676,0.3881581,0.0052559394,269.2242
48.25,11.5,2.4659631,0.032540288,9.169873,4.2208424,0.34060666,-0.0678071,281.2591
48.25,11.75,2.4404256,0.008420557,9.343376,4.1979685,0.31360614,-0.11251137,289.73627
