month,wind10_mps_mean,wind10_mps_min,wind10_mps_max,wind10_mps_p90
2025-01,4.1432657,0.0029695502,21.470215,7.2645507
2025-02,3.1729503,0.0023686537,15.683893,5.750419
2025-03,3.0240355,0.0033780215,14.827731,5.469806
2025-04,2.967795,0.00052193087,14.152112,4.6805844
2025-05,3.4740424,0.007302522,17.115965,5.8107724
2025-06,3.6317863,0.004244934,14.776586,6.1263785
2025-07,3.1717746,0.0023325994,14.158035,5.3247676
2025-08,2.995287,0.0020567693,14.48321,5.3311844
2025-09,3.6481314,0.00209596,17.848663,6.3235297
2025-10,4.269077,0.010076579,20.561539,7.229993
2025-11,3.4483604,0.0038640907,17.591633,6.233285
2025-12,3.680712,0.003106691,18.928728,6.618296
